V,68,391174952276488,1000000000,12:39:34:57.136,0
D,34,391174952276488,1000000000,12:39:34:57.136,0
V,69,391174968955348,1000000000,12:39:34:58.137,0
V,70,391174985609580,1000000000,12:39:34:59.136,0
D,35,391174985609580,1000000000,12:39:34:59.136,0
V,71,391175002277182,1000000000,12:39:35:00.136,0
V,72,391175018942415,1000000000,12:39:35:01.136,0
D,36,391175018942415,1000000000,12:39:35:01.136,0
V,73,391175035624190,1000000000,12:39:35:02.137,0
V,74,391175052282924,1000000000,12:39:35:03.136,0
D,37,391175052282924,1000000000,12:39:35:03.136,0
V,75,391175068950692,1000000000,12:39:35:04.137,0
V,76,391175085616802,1000000000,12:39:35:05.137,0
D,38,391175085616801,1000000000,12:39:35:05.137,0
V,77,391175102294367,1000000000,12:39:35:06.137,0
V,78,391175118953516,1000000000,12:39:35:07.137,0
D,39,391175118953516,1000000000,12:39:35:07.137,0
V,79,391175135621368,1000000000,12:39:35:08.137,0
V,80,391175152300726,1000000000,12:39:35:09.138,0
D,40,391175152300726,1000000000,12:39:35:09.138,0
V,81,391175168965628,1000000000,12:39:35:10.137,0
V,82,391175185621525,1000000000,12:39:35:11.137,0
D,41,391175185621525,1000000000,12:39:35:11.137,0
V,83,391175202289210,1000000000,12:39:35:12.137,0
V,84,391175218956236,1000000000,12:39:35:13.137,0
D,42,391175218956236,1000000000,12:39:35:13.137,0
V,85,391175235632970,1000000000,12:39:35:14.137,0
V,86,391175252294370,1000000000,12:39:35:15.137,0
D,43,391175252294371,1000000000,12:39:35:15.137,0
V,87,391175268970937,1000000000,12:39:35:16.138,0
V,88,391175285637043,1000000000,12:39:35:17.138,0
D,44,391175285637044,1000000000,12:39:35:17.138,0
V,89,391175302304812,1000000000,12:39:35:18.138,0
V,90,391175318967671,1000000000,12:39:35:19.138,0
D,45,391175318967671,1000000000,12:39:35:19.138,0
V,91,391175335639613,1000000000,12:39:35:20.138,0
V,92,391175352298513,1000000000,12:39:35:21.137,0
D,46,391175352298513,1000000000,12:39:35:21.137,0
V,93,391175368966280,1000000000,12:39:35:22.137,0
V,94,391175385637389,1000000000,12:39:35:23.138,0
D,47,391175385637389,1000000000,12:39:35:23.138,0
V,95,391175402298122,1000000000,12:39:35:24.137,0
V,96,391175418969565,1000000000,12:39:35:25.138,0
D,48,391175418969564,1000000000,12:39:35:25.138,0
V,97,391175435637290,1000000000,12:39:35:26.138,0
V,98,391175452303523,1000000000,12:39:35:27.138,0
D,49,391175452303523,1000000000,12:39:35:27.138,0
V,99,391175468980965,1000000000,12:39:35:28.138,0
V,100,391175485647948,1000000000,12:39:35:29.138,0
D,50,391175485647948,1000000000,12:39:35:29.138,0
V,101,391175502303597,1000000000,12:39:35:30.138,0
V,102,391175518973373,1000000000,12:39:35:31.138,0
D,51,391175518973373,1000000000,12:39:35:31.138,0
V,103,391175535641141,1000000000,12:39:35:32.138,0
V,104,391175552309500,1000000000,12:39:35:33.138,0
D,52,391175552309499,1000000000,12:39:35:33.138,0
V,105,391175568989440,1000000000,12:39:35:34.139,0
V,106,391175585642965,1000000000,12:39:35:35.138,0
D,53,391175585642965,1000000000,12:39:35:35.138,0
V,107,391175602310565,1000000000,12:39:35:36.138,0
V,108,391175618992425,1000000000,12:39:35:37.139,0
D,54,391175618992425,1000000000,12:39:35:37.139,0
V,109,391175635642324,1000000000,12:39:35:38.138,0
V,110,391175652316058,1000000000,12:39:35:39.138,0
D,55,391175652316059,1000000000,12:39:35:39.138,0
V,111,391175668983827,1000000000,12:39:35:40.139,0
V,112,391175685645476,1000000000,12:39:35:41.138,0
D,56,391175685645476,1000000000,12:39:35:41.138,0
V,113,391175702323376,1000000000,12:39:35:42.139,0
V,114,391175718991567,1000000000,12:39:35:43.139,0
D,57,391175718991568,1000000000,12:39:35:43.139,0
V,115,391175735659335,1000000000,12:39:35:44.139,0
V,116,391175752320946,1000000000,12:39:35:45.139,0
D,58,391175752320945,1000000000,12:39:35:45.139,0
V,117,391175768999259,1000000000,12:39:35:46.139,0
V,118,391175785654036,1000000000,12:39:35:47.139,0
D,59,391175785654037,1000000000,12:39:35:47.139,0
V,119,391175802337309,1000000000,12:39:35:48.140,0
V,120,391175818990960,1000000000,12:39:35:49.139,0
D,60,391175818990961,1000000000,12:39:35:49.139,0
V,121,391175835658604,1000000000,12:39:35:50.139,0
V,122,391175852322003,1000000000,12:39:35:51.139,0
D,61,391175852322004,1000000000,12:39:35:51.139,0
V,123,391175868987488,1000000000,12:39:35:52.139,0
V,124,391175885665302,1000000000,12:39:35:53.139,0
D,62,391175885665303,1000000000,12:39:35:53.139,0
V,125,391175902332988,1000000000,12:39:35:54.139,0
V,126,391175918991848,1000000000,12:39:35:55.139,0
D,63,391175918991847,1000000000,12:39:35:55.139,0
V,127,391175935661038,1000000000,12:39:35:56.139,0
V,128,391175952337772,1000000000,12:39:35:57.140,0
D,64,391175952337771,1000000000,12:39:35:57.140,0
V,129,391175969005497,1000000000,12:39:35:58.140,0
V,130,391175985661106,1000000000,12:39:35:59.139,0
D,65,391175985661106,1000000000,12:39:35:59.139,0
V,131,391176002344172,1000000000,12:39:36:00.140,0
V,132,391176019000155,1000000000,12:39:36:01.140,0
D,66,391176019000155,1000000000,12:39:36:01.140,0
V,133,391176035683182,1000000000,12:39:36:02.140,0
V,134,391176052333789,1000000000,12:39:36:03.140,0
D,67,391176052333789,1000000000,12:39:36:03.140,0
V,135,391176069001557,1000000000,12:39:36:04.140,0
V,136,391176085669583,1000000000,12:39:36:05.140,0
D,68,391176085669583,1000000000,12:39:36:05.140,0
V,137,391176102338606,1000000000,12:39:36:06.140,0
V,138,391176119008882,1000000000,12:39:36:07.140,0
D,69,391176119008883,1000000000,12:39:36:07.140,0
V,139,391176135676526,1000000000,12:39:36:08.140,0
V,140,391176152347593,1000000000,12:39:36:09.140,0
D,70,391176152347592,1000000000,12:39:36:09.140,0
V,141,391176169004784,1000000000,12:39:36:10.140,0
V,142,391176185689101,1000000000,12:39:36:11.141,0
D,71,391176185689101,1000000000,12:39:36:11.141,0
V,143,391176202356786,1000000000,12:39:36:12.141,0
V,144,391176219016851,1000000000,12:39:36:13.141,0
D,72,391176219016852,1000000000,12:39:36:13.141,0
V,145,391176235687878,1000000000,12:39:36:14.141,0
V,146,391176252348027,1000000000,12:39:36:15.140,0
D,73,391176252348027,1000000000,12:39:36:15.140,0
V,147,391176269015670,1000000000,12:39:36:16.140,0
V,148,391176285688278,1000000000,12:39:36:17.141,0
D,74,391176285688278,1000000000,12:39:36:17.141,0
V,149,391176302347678,1000000000,12:39:36:18.140,0
V,150,391176319014580,1000000000,12:39:36:19.140,0
D,75,391176319014579,1000000000,12:39:36:19.140,0
V,151,391176335694561,1000000000,12:39:36:20.141,0
V,152,391176352349962,1000000000,12:39:36:21.140,0
D,76,391176352349962,1000000000,12:39:36:21.140,0
V,153,391176369017563,1000000000,12:39:36:22.141,0
V,154,391176385686255,1000000000,12:39:36:23.141,0
D,77,391176385686255,1000000000,12:39:36:23.141,0
V,155,391176402349321,1000000000,12:39:36:24.140,0
V,156,391176419019222,1000000000,12:39:36:25.141,0
D,78,391176419019222,1000000000,12:39:36:25.141,0
V,157,391176435686948,1000000000,12:39:36:26.141,0
V,158,391176452351598,1000000000,12:39:36:27.141,0
D,79,391176452351598,1000000000,12:39:36:27.141,0
V,159,391176469020872,1000000000,12:39:36:28.141,0
V,160,391176485696440,1000000000,12:39:36:29.141,0
D,80,391176485696440,1000000000,12:39:36:29.141,0
